
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
442,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,121
443,Jonas Valanciunas\valanjo01,C,26,TOR,30,10,564,12.8,22.2,.575,0.8,2.6,.300,12.0,19.6,.611,6.6,8.1,.819,4.6,13.9,18.5,2.5,1.1,2.0,3.3,7.0,32.9,,121,104
444,Fred VanVleet\vanvlfr01,PG,24,TOR,39,16,1044,6.6,16.4,.403,3.1,8.3,.367,3.6,8.1,.440,2.6,3.2,.812,0.7,4.1,4.8,8.2,1.6,0.4,2.3,3.1,18.9,,112,111
445,Noah Vonleh\vonleno01,PF,23,NYK,42,35,1114,5.5,11.7,.469,1.6,3.8,.416,3.9,7.9,.495,3.2,4.3,.750,3.6,12.0,15.6,3.8,1.5,1.6,2.5,5.1,15.8,,115,111
446,Nikola Vucevic\vucevni01,C,28,ORL,40,40,1230,13.5,25.5,.529,1.9,4.9,.393,11.6,20.6,.561,3.5,4.5,.777,4.1,15.1,19.2,5.9,1.6,1.8,3.2,3.2,32.4,,115,104
447,Dwyane Wade\wadedw01,SG,37,MIA,31,0,787,10.0,23.6,.421,2.6,7.6,.336,7.4,16.0,.461,4.7,6.8,.682,1.7,5.0,6.7,7.5,1.3,1.1,4.2,3.1,27.1,,102,110
448,Moritz Wagner\wagnemo01,C,21,LAL,13,0,88,8.5,22.7,.372,3.7,10.6,.350,4.8,12.2,.391,3.2,4.8,.667,2.6,9.0,11.6,3.7,1.1,0.5,3.7,7.4,23.8,,94,108
449,Dion Waiters\waitedi01,SG,27,MIA,3,0,56,10.5,27.1,.387,5.2,17.5,.300,5.2,9.6,.545,0.0,3.5,.000,0.9,5.2,6.1,8.7,1.7,0.0,0.0,1.7,26.2,,110,110
450,Kemba Walker\walkeke02,PG,28,CHO,41,41,1405,12.0,27.8,.433,4.5,12.5,.358,7.6,15.3,.494,6.6,8.0,.816,0.7,5.4,6.0,8.1,1.7,0.7,3.5,2.3,35.1,,112,113
451,Lonnie Walker\walkelo01,SG,20,SAS,1,0,5,9.8,19.6,.500,9.8,9.8,1.000,0.0,9.8,.000,0.0,0.0,,0.0,9.8,9.8,0.0,0.0,0.0,0.0,0.0,29.5,,139,113
452,John Wall\walljo01,PG,28,WAS,32,32,1104,10.6,23.8,.444,2.2,7.3,.302,8.4,16.5,.507,5.3,7.5,.697,0.6,4.3,5.0,12.0,2.1,1.2,5.2,3.1,28.6,,104,114
453,Tyrone Wallace\wallaty01,PG,24,LAC,31,0,310,8.0,17.7,.452,0.0,1.5,.000,8.0,16.1,.495,2.0,4.1,.481,2.0,5.5,7.5,2.5,2.0,1.1,2.0,6.5,18.0,,94,111
454,Taurean Waller-Prince\princta02,SF,24,ATL,21,20,602,8.4,19.5,.431,3.9,10.6,.367,4.5,8.9,.509,3.4,4.1,.833,0.5,5.9,6.4,3.7,1.8,0.5,4.1,4.7,24.2,,100,113
455,Brad Wanamaker\wanambr01,PG,29,BOS,18,0,134,6.5,14.5,.450,2.5,5.4,.467,4.0,9.1,.440,3.3,3.6,.900,0.0,5.4,5.4,9.1,2.2,0.0,3.6,2.9,18.9,,112,107
